log_id,training_set,deletion_percentage,training_set_size,highest_recall,iter_highest_recall,iter_recall_90,iter_recall_95,initial_recall,last_recall,highest_precision,iter_highest_precision,iter_precision_90,iter_precision_95,initial_precision,last_precision,number_of_AL_iter,cases_per_iter,total_number_labeled_cases,approach,num_traces_log,num_events_log,num_activities_model,num_constraints_norm,num_constraints_audit,labeled_population,perc_anomalies_in_population,perc_anomalies_in_sample
3,14,0.25,48,0.9135338345864662,4,1.0,,0.9107142857142856,0.9058823529411764,1.0,1,1.0,1.0,1.0,1.0,11,5,53,1,10000,114897,17,10,4,5662,0.05,0.0625
3,15,0.25,105,0.9274193548387096,7,4.0,,0.8633093525179856,0.9227467811158798,1.0,1,1.0,1.0,1.0,1.0,11,5,110,1,10000,114897,17,10,4,5662,0.05,0.0476190476190476
3,16,0.25,90,0.8321428571428572,1,,,0.8321428571428572,0.808695652173913,1.0,1,1.0,1.0,1.0,1.0,11,5,95,1,10000,114897,17,10,4,5662,0.05,0.0333333333333333
3,16,0.5,38,0.8,1,,,0.8,0.8,1.0,1,1.0,1.0,1.0,1.0,11,5,43,1,10000,114897,17,10,4,159,0.05,0.0789473684210526
3,17,0.25,66,0.8650793650793651,6,,,0.7689530685920578,0.8325991189427313,1.0,1,1.0,1.0,1.0,1.0,11,5,71,1,10000,114897,17,10,4,5662,0.05,0.0909090909090909
3,17,0.75,50,0.6666666666666666,1,,,0.6666666666666666,0.6666666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,55,1,10000,114897,17,10,5,128,0.05,0.06
3,18,0.25,145,0.8979591836734694,7,,,0.8254545454545454,0.8933333333333333,1.0,1,1.0,1.0,1.0,1.0,11,5,150,1,10000,114897,17,10,4,5662,0.05,0.0551724137931034
3,19,0.25,43,0.9385245901639344,8,1.0,,0.913978494623656,0.9344978165938864,1.0,1,1.0,1.0,1.0,1.0,11,5,48,1,10000,114897,17,10,4,5662,0.05,0.0930232558139534
3,19,0.5,96,0.6666666666666666,1,,,0.6666666666666666,0.6666666666666666,1.0,1,1.0,1.0,1.0,1.0,11,5,101,1,10000,114897,17,10,4,159,0.05,0.0520833333333333
3,19,0.75,39,0.8,1,,,0.8,0.5,1.0,1,1.0,1.0,1.0,1.0,11,5,44,1,10000,114897,17,10,5,128,0.05,0.0256410256410256
3,20,0.25,120,0.8539325842696629,3,,,0.8375451263537906,0.8281938325991189,1.0,1,1.0,1.0,1.0,1.0,11,5,125,1,10000,114897,17,10,4,5662,0.05,0.05
3,20,0.5,30,0.7142857142857143,1,,,0.7142857142857143,0.7142857142857143,1.0,1,1.0,1.0,1.0,1.0,11,5,35,1,10000,114897,17,10,4,159,0.05,0.0333333333333333
3,21,0.25,79,0.8955223880597015,3,,,0.8884892086330936,0.8859649122807017,1.0,1,1.0,1.0,1.0,1.0,11,5,84,1,10000,114897,17,10,4,5662,0.05,0.0632911392405063
3,22,0.25,143,0.911439114391144,2,1.0,,0.9057971014492754,0.8938053097345132,1.0,1,1.0,1.0,1.0,1.0,11,5,148,1,10000,114897,17,10,4,5662,0.05,0.0489510489510489
3,22,0.75,49,0.6,1,,,0.6,0.6,1.0,1,1.0,1.0,1.0,1.0,11,5,54,1,10000,114897,17,10,5,128,0.05,0.0204081632653061
3,23,0.25,96,0.8947368421052632,7,,,0.7545126353790613,0.8854625550660793,1.0,1,1.0,1.0,1.0,1.0,11,5,101,1,10000,114897,17,10,4,5662,0.05,0.0625
3,24,0.25,125,0.8308270676691729,3,,,0.8115942028985508,0.8008849557522124,1.0,1,1.0,1.0,1.0,1.0,11,5,130,1,10000,114897,17,10,4,5662,0.05,0.056
3,24,0.75,41,0.8,1,,,0.8,0.8,1.0,1,1.0,1.0,1.0,1.0,11,5,46,1,10000,114897,17,10,5,128,0.05,0.024390243902439
